batter,Runs,Balls,Fours,Sixes,Strike Rate
V Kohli,8014,6236,708,273,128.51
S Dhawan,6769,5483,768,153,123.45
RG Sharma,6630,5183,599,281,127.92
DA Warner,6567,4849,663,236,135.43
SK Raina,5536,4177,506,204,132.54
MS Dhoni,5243,3947,363,252,132.84
AB de Villiers,5181,3487,414,253,148.58
CH Gayle,4997,3516,408,359,142.12
RV Uthappa,4954,3927,481,182,126.15
KD Karthik,4843,3687,466,161,131.35
KL Rahul,4689,3578,400,187,131.05
AM Rahane,4642,3858,479,103,120.32
F du Plessis,4571,3435,422,166,133.07
SV Samson,4419,3270,352,206,135.14
AT Rayudu,4348,3490,359,173,124.58
G Gambhir,4217,3524,492,59,119.67
SR Watson,3880,2892,377,190,134.16
MK Pandey,3859,3288,335,111,117.37
SA Yadav,3594,2522,385,130,142.51
JC Buttler,3583,2519,356,161,142.24
KA Pollard,3437,2447,221,224,140.46
RR Pant,3297,2296,298,154,143.6
YK Pathan,3222,2334,263,161,138.05
Shubman Gill,3216,2432,310,95,132.24
Q de Kock,3160,2410,316,123,131.12
SS Iyer,3131,2545,272,113,123.03
RA Jadeja,2959,2378,215,107,124.43
WP Saha,2934,2368,296,87,123.9
DA Miller,2924,2171,207,134,134.68
BB McCullum,2882,2272,293,130,126.85
PA Patel,2848,2442,365,49,116.63
GJ Maxwell,2772,1842,233,160,150.49
Yuvraj Singh,2754,2207,218,149,124.78
V Sehwag,2728,1833,334,106,148.83
MA Agarwal,2669,2081,265,98,128.26
Ishan Kishan,2644,1991,255,119,132.8
N Rana,2636,2015,234,132,130.82
M Vijay,2619,2208,247,91,118.61
HH Pandya,2534,1814,189,137,139.69
SPD Smith,2495,1999,226,60,124.81
SE Marsh,2489,1913,269,78,130.11
AD Russell,2488,1515,171,209,164.22
JH Kallis,2427,2291,255,44,105.94
DR Smith,2385,1803,245,117,132.28
RD Gaikwad,2380,1781,217,91,133.63
SR Tendulkar,2334,2044,296,29,114.19
RA Tripathi,2236,1650,223,84,135.52
R Dravid,2174,1918,269,28,113.35
KS Williamson,2132,1734,187,64,122.95
AJ Finch,2092,1696,214,78,123.35
AC Gilchrist,2069,1555,239,92,133.05
JP Duminy,2029,1680,126,79,120.77
MEK Hussey,1977,1648,198,52,119.96
PP Shaw,1892,1321,238,61,143.22
MP Stoinis,1866,1366,150,91,136.6
DPMD Jayawardene,1808,1522,200,40,118.79
N Pooran,1769,1143,113,127,154.77
Mandeep Singh,1706,1418,176,38,120.31
MK Tiwary,1695,1489,156,40,113.83
KC Sangakkara,1687,1424,195,27,118.47
AR Patel,1653,1318,107,79,125.42
KH Pandya,1647,1287,144,61,127.97
YBK Jaiswal,1607,1095,199,64,146.76
JM Bairstow,1589,1132,166,69,140.37
DJ Bravo,1560,1247,120,66,125.1
D Padikkal,1559,1323,170,42,117.84
NV Ojha,1554,1360,121,79,114.26
SP Narine,1534,984,164,97,155.89
S Dube,1502,1077,86,101,139.46
KK Nair,1496,1192,161,39,125.5
SS Tiwary,1494,1291,111,50,115.72
DJ Hooda,1466,1170,96,61,125.3
S Badrinath,1441,1245,154,28,115.74
EJG Morgan,1406,1181,112,64,119.05
BJ Hodge,1400,1153,122,43,121.42
Abhishek Sharma,1377,925,128,73,148.86
SC Ganguly,1349,1326,137,42,101.73
CA Lynn,1329,974,132,66,136.45
VR Iyer,1326,1000,121,61,132.6
DJ Hussey,1322,1101,90,60,120.07
SO Hetmyer,1243,854,76,82,145.55
KM Jadhav,1208,1012,102,40,119.37
R Parag,1173,909,84,60,129.04
MM Ali,1162,849,95,67,136.87
Tilak Varma,1156,830,90,58,139.28
TM Dilshan,1153,1047,140,24,110.12
IK Pathan,1150,985,88,38,116.75
V Shankar,1115,890,80,45,125.28
ML Hayden,1107,839,121,44,131.94
M Vohra,1083,863,104,43,125.49
