,Matches Played,Wins,Losses,Win %
Mumbai Indians,261,144,117,55.17
Chennai Super Kings,238,138,100,57.98
Kolkata Knight Riders,251,131,120,52.19
Royal Challengers Bangalore,240,116,124,48.33
Rajasthan Royals,221,112,109,50.68
Kings XI Punjab,190,88,102,46.32
Sunrisers Hyderabad,182,88,94,48.35
Delhi Daredevils,161,67,94,41.61
Delhi Capitals,91,48,43,52.75
Deccan Chargers,75,29,46,38.67
Gujarat Titans,45,28,17,62.22
Lucknow Super Giants,44,24,20,54.55
Punjab Kings,56,24,32,42.86
Gujarat Lions,30,13,17,43.33
Pune Warriors,46,12,34,26.09
Rising Pune Supergiant,16,10,6,62.5
Royal Challengers Bengaluru,15,7,8,46.67
Kochi Tuskers Kerala,14,6,8,42.86
Rising Pune Supergiants,14,5,9,35.71
