venue,Matches,Average_Result_Margin
Eden Gardens,77,14.88
Wankhede Stadium,73,16.0
M Chinnaswamy Stadium,65,23.87
Feroz Shah Kotla,60,18.1
"Rajiv Gandhi International Stadium, Uppal",49,13.96
"MA Chidambaram Stadium, Chepauk",48,17.57
Sawai Mansingh Stadium,47,15.79
Dubai International Cricket Stadium,46,20.42
"Wankhede Stadium, Mumbai",45,13.04
"Punjab Cricket Association Stadium, Mohali",35,17.94
Sheikh Zayed Stadium,29,19.22
"MA Chidambaram Stadium, Chepauk, Chennai",28,17.78
Sharjah Cricket Stadium,28,17.04
"Narendra Modi Stadium, Ahmedabad",24,15.58
Maharashtra Cricket Association Stadium,22,19.95
"Dr DY Patil Sports Academy, Mumbai",20,17.2
Dr DY Patil Sports Academy,17,15.35
"Brabourne Stadium, Mumbai",17,16.71
Subrata Roy Sahara Stadium,16,19.25
"Arun Jaitley Stadium, Delhi",16,20.81
"Eden Gardens, Kolkata",16,15.25
Rajiv Gandhi International Stadium,15,20.47
M.Chinnaswamy Stadium,15,8.57
Kingsmead,15,12.8
Arun Jaitley Stadium,14,15.31
"M Chinnaswamy Stadium, Bengaluru",14,15.43
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,20.31
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,16.0
"Maharashtra Cricket Association Stadium, Pune",13,28.31
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,24.0
"Sardar Patel Stadium, Motera",12,19.82
SuperSport Park,12,10.83
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,10.45
Saurashtra Cricket Association Stadium,10,13.11
Punjab Cricket Association IS Bindra Stadium,10,8.6
"Sawai Mansingh Stadium, Jaipur",10,21.7
Brabourne Stadium,10,16.1
Holkar Cricket Stadium,9,9.89
Himachal Pradesh Cricket Association Stadium,9,33.56
MA Chidambaram Stadium,9,20.78
"Zayed Cricket Stadium, Abu Dhabi",8,13.75
New Wanderers Stadium,8,7.5
Newlands,7,27.17
St George's Park,7,31.71
Barabati Stadium,7,13.29
JSCA International Stadium Complex,7,9.29
Shaheed Veer Narayan Singh International Stadium,6,7.67
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,19.8
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,4.2
Nehru Stadium,5,24.6
Green Park,4,5.5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,26.75
Buffalo Park,3,31.33
De Beers Diamond Oval,3,21.0
"Vidarbha Cricket Association Stadium, Jamtha",3,7.0
"Barsapara Cricket Stadium, Guwahati",3,22.33
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,63.0
OUTsurance Oval,2,10.0
